,subj,channel,X10,raw_top_r,raw_top_rho,raw_btm_r,raw_btm_rho,raw_comb_r,raw_comb_rho,raw_SAM_y_r,raw_SAM_y_rho,raw_SAM_e_r,raw_SAM_e_rho,raw_SAM_i_r,raw_SAM_i_rho,control_rho,Unnamed: 0,raw_top_r_pval,raw_top_rho_pval,raw_btm_r_pval,raw_btm_rho_pval,raw_comb_r_pval,raw_comb_rho_pval,raw_SAM_y_r_pval,raw_SAM_y_rho_pval,raw_SAM_e_r_pval,raw_SAM_e_rho_pval,raw_SAM_i_r_pval,raw_SAM_i_rho_pval,raw_top_r_pFDR,raw_top_rho_pFDR,raw_btm_r_pFDR,raw_btm_rho_pFDR,raw_comb_r_pFDR,raw_comb_rho_pFDR,raw_SAM_y_r_pFDR,raw_SAM_y_rho_pFDR,raw_SAM_e_r_pFDR,raw_SAM_e_rho_pFDR,raw_SAM_i_r_pFDR,raw_SAM_i_rho_pFDR
18,1002,LMEGOF13-LMEGOF12,Prefrontal,-0.0454794473949293,-0.0104342393654782,-0.0297250533032222,-0.0214217759714841,-0.0527677763135193,-0.03669031268645,-0.0610705704597381,-0.0567899572463931,0.0128306376127901,-0.0050843428294948,0.0068842000329832,0.0281368779739004,-0.0364933137429302,18,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.282,0.0,0.483,1.0,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.220056338028169,0.46623999999999993,0.0,0.713,1.0,1.0
19,1002,LMEGOF14-LMEGOF13,Prefrontal,0.0141849912483752,-0.0014391147262583,0.0019799918949219,0.0135339554454328,0.0176525978854835,0.0144531740245078,-0.0264151329268521,-0.023822837731654,-0.0105765796364497,-0.0110117862098857,-0.0035953880180404,0.0009957966393274,-0.0289136356021817,19,0.945,0.48,0.941,0.014,0.0,0.0,0.0,0.0,0.06,0.006,0.833,0.012,1.0,0.62,1.0,0.028933333333333335,0.0,0.0,0.0,0.0,0.11272727272727273,0.01219672131147541,1.0,0.024800000000000003
20,1002,LMEGOF15-LMEGOF14,Prefrontal,0.088752362532626,0.0503629597380735,-0.0208152182878424,-0.0106229861476777,0.0530515077563266,0.0248098353935736,0.0909300174738585,0.0773659408265505,0.0004650102394764,0.0072846048135367,-0.0865793287330964,-0.0922635288741646,-0.0213013596962175,20,0.0,0.0,1.0,1.0,0.0,0.0,0.931,0.996,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
21,1002,LMEGOF16-LMEGOF15,Prefrontal,-0.0553750224438816,-0.0732804720128755,0.024116222514743,0.0273526622964259,-0.0387093487525131,-0.026771843771495,-0.0437315518023083,-0.0447890798062527,-0.0136138131266797,-0.0204543269846923,0.0871849725523132,0.079410031521605,0.062026019268163,21,1.0,0.987,0.743,0.174,1.0,1.0,0.0,0.0,0.971,0.589,0.0,0.0,1.0,1.0,1.0,0.2766153846153846,1.0,1.0,0.0,0.0,1.0,0.8394942528735632,0.0,0.0
22,1002,LMEGOF5-LMEGOF4,Orbitofrontal,-0.0102336277184794,-0.031513606322177,0.0370883608364547,0.0319735953877752,0.0145267028802184,0.0123624342339894,-0.0164554164348372,-0.017315743954519,-0.0222609078766378,-0.0010974168795867,0.0342118220555995,0.0189155573304891,0.014775869244139,22,1.0,1.0,0.058,0.015,0.0,0.0,0.0,0.899,0.767,1.0,0.0,0.97,1.0,1.0,0.10274285714285715,0.030491803278688525,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
23,1002,LMEGOF6-LMEGOF5,Orbitofrontal,0.0060059228698072,-0.0232356524857044,0.0209263163900773,0.0225313633490181,0.027993156468221,0.0140798998527839,0.0163022848111295,0.0159048271207723,-0.009809814690977,-0.0074227526756404,0.007141310235163,-0.0149592070014731,0.0130533839765414,23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.997,0.161,0.451,0.0,0.948,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2852,0.6737831325301205,0.0,1.0
24,1002,LMEGOF7-LMEGOF6,Orbitofrontal,0.0499411974623205,0.0538111259217801,-0.0073575079906246,0.0017812265249962,0.0330384905168995,0.0355898529903764,0.0330292853772178,0.0318226841316294,0.0080661852546509,-0.0041314221010275,-0.0480264737635181,-0.0485078193452511,0.0119412614306018,24,0.0,0.0,1.0,0.001,0.0,0.0,0.893,0.973,0.497,0.0,0.05,0.186,0.0,0.0,1.0,0.0025306122448979593,0.0,0.0,1.0,1.0,0.7608395061728395,0.0,0.09253731343283583,0.3442388059701493
25,1002,LMEGOF8-LMEGOF7,Orbitofrontal,-0.0394648127610563,0.0047258672521387,-0.0025041401479764,-0.0036945797911327,-0.0244973810579209,0.00440475027276,-0.0227823830013402,-0.0259826476132236,-0.0054247401455626,-0.0095083261293321,0.0306661021369098,0.0320541178966588,0.0062889080142252,25,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,1002,LMEGOF9-LMEGOF8,Orbitofrontal,-0.0115852276142057,-0.0242285553005688,0.0146982513202934,0.0081012562082009,0.0016687632290072,-0.0024548962647834,-0.0096137385405767,-0.0140774084603853,-0.0029609917018364,-0.0066033180485308,0.0423750734236473,0.041693613070978,0.0519249675399948,26,1.0,0.875,0.002,0.314,0.0,0.841,0.387,0.593,0.981,0.899,0.661,0.692,1.0,1.0,0.0041333333333333335,0.4691084337349397,0.0,0.9955428571428572,0.63984,0.9362,1.0,1.0,1.0,1.0
27,1002,LPPV10-LPPV9,Rolandic,0.0432952578729235,0.0275151311864209,-0.0068391100577969,-0.0139035462885674,0.0181876710392201,0.0024603521376563,0.1008874859983303,0.0999186353789816,0.0071310732173131,0.021401919328307,-0.0651366986733779,-0.064345093943215,-0.0226882903501264,27,0.0,0.0,0.001,0.11,0.001,0.443,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0021016949152542377,0.18432432432432433,0.0014761904761904762,0.554868686868687,0.0,0.0,0.0042033898305084754,0.0,0.0,0.0
