Block #, Trial #, Condition, Standard #, Note,SOA, SOA Jitter, Rating, RT
0,1,2,3,d4,800,1051.6810664015200,4,4.10476118940278
0,1,3,4,f4,800,1044.0509333882700,4,3.2120839107374200
0,2,1,2,a4,400,493.2205352160680,3,10.093625193665500
0,3,2,3,g4,400,533.5308246134920,4,3.444714751734860
0,4,1,2,e4,700,701.3519629914250,3,5.008268132572990
0,5,2,3,e4,700,689.743809482786,3,25.876670642086500
0,6,1,2,c4,600,431.1620902285200,1,6.63600058661541
0,7,1,2,f4,333,271.49636528406700,3,2.9617103859200100
0,8,3,4,e4,700,899.5491095222470,4,1.9841727166203800
1,1,3,4,e4,388.0,308.1153508756260,1,2.677714518707940
1,2,1,2,g4,553.0,734.1847004117450,4,2.5206340519944200
1,3,2,3,b4,440.0,565.3402496050810,4,1.6010721848288100
1,4,1,2,e4,904.0,978.8355009976730,4,2.7381123558734500
1,5,3,4,a4,694.0,676.7810244128410,2,2.298919741733700
1,6,1,2,c4,857.0,965.7056444896240,4,4.3402455861796600
1,7,1,2,a4,452.0,504.5759720186840,2,19.00002248302920
1,8,2,3,c4,887.0,572.3815213105510,1,10.755966688331700
1,9,3,4,d4,440.0,582.0052614434410,4,2.1683878955373100
1,10,1,2,f4,341.0,426.04634239144800,4,2.310752455756300
1,11,1,2,d4,737.0,536.6975029348200,1,1.6116172346810300
1,12,3,4,a4,452.0,479.30476514772000,3,1.9920936397684300
1,13,2,3,c4,553.0,493.0850273036120,1,1.8382711677695600
1,14,1,2,b4,434.0,560.2851562191510,4,2.365174917940750
1,15,1,2,c4,354.0,321.11480427587800,2,3.4015133630891800
1,16,1,2,f4,349.0,363.48855846633,2,2.504642489249820
1,17,1,2,d4,388.0,436.1607457869730,4,2.9679744633613200
1,18,3,4,g4,737.0,867.2025945082390,2,4.664656224311330
1,19,3,4,b4,341.0,454.0522488743580,4,1.586738234240330
1,20,3,4,b4,434.0,521.1372294171870,3,2.5233629291760700
1,21,2,3,e4,524.0,639.6746689078300,4,1.6372246340324600
1,22,2,3,b4,349.0,282.61783108356700,2,4.101330228644660
1,23,2,3,d4,348.0,459.7382050776020,4,2.440402609674490
1,24,2,3,e4,904.0,1248.5969750204800,4,0.9635131157701840
1,25,3,4,b4,486.0,425.0852130435390,1,2.1863684395502800
1,26,1,2,f4,885.0,545.5919724810330,1,1.7041532790463000
1,27,2,3,c4,388.0,376.6545706214820,2,2.7411378556862500
1,28,3,4,d4,857.0,530.7820771102970,1,1.3932620927807900
1,29,2,3,g4,694.0,909.8738936964130,4,1.3937505876238000
1,30,2,3,f4,354.0,269.75554774498500,1,1.4958955704351000
1,31,3,4,g4,524.0,536.8469341221310,3,2.8030055206036200
1,32,2,3,f4,452.0,280.2158438100650,1,1.4150054776691800
1,33,1,2,b4,524.0,536.8641497923060,2,3.3508064763445900
1,34,2,3,f4,885.0,972.4401795731050,4,2.2776301052072100
1,35,3,4,a4,348.0,291.80316969620300,2,2.877101651887640
1,36,1,2,d4,694.0,744.5097828328170,2,3.488278934644770
1,37,3,4,d4,675.0,911.196865024243,4,1.582967473194000
1,38,1,2,c4,887.0,774.5386991290490,2,4.3759935964189900
1,39,3,4,e4,354.0,384.24129354374900,2,2.1987772810971400
1,40,2,3,c4,857.0,669.7653206400220,1,1.4906634127546600
1,41,1,2,g4,486.0,650.7342200569580,4,4.607040406088350
1,42,2,3,a4,434.0,379.0025450411440,2,5.554773759446110
1,43,3,4,a4,553.0,391.7220285489160,1,1.5301734974200400
1,44,1,2,g4,440.0,591.4914731127980,4,1.2647189724084500
1,45,2,3,f4,737.0,528.2699886325250,1,1.300569944694870
1,46,2,3,a4,675.0,788.8261360568590,4,2.2036466445133600
1,47,1,2,f4,675.0,752.370685288068,3,3.2191601874656000
1,48,2,3,c4,486.0,629.2355115841760,4,1.6253037763235600
1,49,3,4,f4,885.0,539.9287060818790,1,1.224262301257110
1,50,2,3,d4,341.0,437.57630173548100,3,3.1748796136234900
1,51,3,4,e4,343.0,363.9399413520770,2,3.656886039680100
1,52,1,2,e4,348.0,292.3660433906160,1,3.1321618655056200
1,53,2,3,e4,860.0,1008.1837940089000,4,1.7391772336850400
1,54,2,3,g4,343.0,441.70890782768300,4,1.54814101147349
1,55,3,4,a4,904.0,826.4049157369030,2,3.1469968298915800
1,56,1,2,e4,860.0,716.3032181119740,3,3.432718780299180
1,57,3,4,g4,887.0,829.6021035965920,1,4.51744963802048
1,58,3,4,d4,860.0,1166.971672345090,4,1.0120795163384200
1,59,1,2,a4,343.0,361.0403022621950,2,2.9880180804466400
1,60,3,4,c4,349.0,237.76120278692800,1,1.4473345351580100
2,1,3,4,a4,527.0,685.6709360493320,4,1.8362410527770400
2,2,2,3,d4,760.0,579.4134629325480,1,2.063852813851550
2,3,2,3,f4,810.0,814.1025074257890,3,2.6981068781751700
2,4,1,2,g4,629.0,821.7880639394530,4,2.449663827661430
2,5,1,2,b4,685.0,830.9114632401280,3,3.321606136218180
2,6,3,4,c4,629.0,611.0568028922750,2,2.048002281022490
2,7,3,4,g4,941.0,803.2003666918610,1,1.559533007122810
2,8,2,3,d4,768.0,484.42062189493700,1,1.2901311782479800
2,9,2,3,a4,941.0,871.9121005481920,2,3.563651999545980
2,10,3,4,a4,767.0,732.2558497503870,2,2.5741076282865800
2,11,1,2,a4,527.0,550.6100167305110,2,3.3351409174792900
2,12,2,3,b4,527.0,690.7061160529730,4,1.2923125426459600
2,13,2,3,e4,478.0,593.2896099882130,4,1.3508018775319200
2,14,1,2,c4,958.0,1110.138729910990,4,2.034014006931100
2,15,2,3,c4,958.0,987.2082089071480,3,3.061005645286060
2,16,3,4,g4,478.0,535.4233751197360,3,3.548295071319440
2,17,2,3,b4,916.0,951.9430729184100,3,4.728958698688080
2,18,3,4,c4,752.0,497.0947564954830,1,1.364693065843310
2,19,1,2,f4,742.0,1024.4953950890200,4,1.791149301599940
2,20,3,4,b4,916.0,627.9338950705470,1,1.4051321082224600
2,21,2,3,f4,512.0,409.37581328657900,1,1.3678828450501900
2,22,3,4,d4,891.0,823.9256043792690,3,2.826365639397410
2,23,3,4,a4,742.0,518.2291292191950,1,1.1381827175209800
2,24,3,4,d4,442.0,549.6943866780460,4,1.3361294041096700
2,25,2,3,d4,424.0,457.1416631809400,3,2.576476266112880
2,26,2,3,g4,629.0,392.0444197124430,1,1.5376020933617800
2,27,2,3,e4,442.0,481.65614217560500,3,2.7418499033374200
2,28,3,4,b4,685.0,597.0042678848860,1,2.1776360836229300
2,29,3,4,c4,424.0,581.4510357001130,4,1.3173535231035200
2,30,3,4,a4,512.0,446.8418933710470,1,2.0641098357155000
2,31,3,4,g4,760.0,717.2628662779450,3,2.9827049327723200
2,32,1,2,f4,909.0,808.5171989706420,3,3.819329729914900
2,33,1,2,a4,810.0,774.9952886509130,3,4.065417428035290
2,34,2,3,b4,767.0,762.2521982678890,3,3.369311794580430
2,35,1,2,e4,478.0,377.5861956405340,1,1.7781745520769600
2,36,1,2,b4,941.0,733.1528646321350,1,1.8883906854898700
2,37,1,2,f4,768.0,535.8520025054290,1,1.734883486846230
2,38,3,4,a4,891.0,1066.6927292223100,4,1.2910821080149600
2,39,1,2,b4,442.0,503.2359358524940,4,3.3899256629229100
2,40,3,4,g4,909.0,680.477956477759,1,1.28047855119803
2,41,1,2,g4,512.0,621.7113709352480,4,1.871479618101150
2,42,2,3,e4,742.0,640.5544404738650,1,1.3210655216826100
2,43,1,2,e4,424.0,441.6690804627240,2,3.813076127524260
2,44,1,2,f4,767.0,939.9272894179240,4,1.973544632899580
2,45,3,4,d4,810.0,599.0207739686780,1,1.1495905534538900
2,46,3,4,d4,616.0,487.86784582663600,1,1.2123889644863100
2,47,3,4,e4,958.0,1304.5789474234800,4,1.0193517530569800
2,48,2,3,d4,909.0,930.3291309965700,3,4.769505046424460
2,49,1,2,f4,891.0,738.9742418038000,3,1.9645539776538500
2,50,1,2,b4,616.0,658.6762768869170,4,3.059504647855650
2,51,2,3,c4,616.0,697.1596091447350,4,2.2892620049242400
2,52,1,2,f4,760.0,800.3295958589670,3,3.815097044920550
2,53,2,3,f4,752.0,558.99703167132,1,1.1477007018693300
2,54,2,3,a4,891.0,832.6196673871,3,8.20326903188834
2,55,2,3,g4,891.0,630.7755694144050,1,1.1265242469089600
2,56,3,4,c4,768.0,870.9076768331450,4,1.3493294948712000
2,57,2,3,d4,685.0,609.9359412647450,1,5.788140153075800
2,58,1,2,c4,752.0,942.6490836549950,4,1.3236845386272800
2,59,1,2,e4,916.0,819.0718873953760,2,2.692885451047910
2,60,1,2,g4,891.0,1032.9296792961400,2,3.436364607216090
3,1,2,3,d4,390.0,256.4388926176620,1,1.7161796536529400
3,2,3,4,d4,784.0,739.4758411054990,1,1.679452354379460
