Block #, Trial #, Condition, Standard #, Note,SOA, SOA Jitter, Rating, RT
0,1,2,3,f4,800,796.5845906118554,4,7.981997702634544
0,1,3,4,a4,400,250.4662265872032,1,6.16800372810394
0,2,1,2,f4,800,788.5112161946029,2,6.225922674580943
0,3,3,4,c4,600,740.7305736468443,4,2.7641203907114686
0,4,2,3,c4,600,530.4214088044089,2,4.332361621796736
0,5,2,3,e4,700,914.995180748597,4,2.8285047531244345
0,6,2,3,c4,600,367.9115307581271,1,2.0718875764723634
0,7,1,2,c4,600,424.9098489334379,1,3.406139309197897
0,8,1,2,c4,600,813.7955967001362,4,2.0573264664562885
1,1,3,4,b4,784.0,509.0423129608132,1,1.829038981552003
1,2,3,4,e4,615.0,685.74514661681,4,4.189246653608279
1,3,3,4,c4,378.0,483.56625937317426,4,1.0875020694656996
1,4,2,3,e4,615.0,747.1074823428917,4,2.7297412198531674
1,5,3,4,a4,826.0,1124.3810999101265,4,1.3775306229654234
1,6,2,3,g4,826.0,505.80603898648576,1,1.35140580512234
1,7,1,2,g4,708.0,519.7597119165404,1,2.6242102821270237
1,8,2,3,d4,949.0,1118.6385350931855,4,1.6031944867427228
1,9,1,2,a4,983.0,1206.5490000150576,3,4.183519091195194
1,10,1,2,c4,594.0,803.7964146284048,4,1.226156447432004
1,11,2,3,f4,474.0,591.6892201017463,4,1.1634613812348107
1,12,3,4,f4,819.0,689.2094995725623,4,1.8935853242728626
1,13,2,3,b4,538.0,560.6459292140205,2,3.043869581844774
1,14,2,3,d4,653.0,557.1118789111298,2,2.619244078261545
1,15,3,4,c4,474.0,592.885021939064,4,2.6503754672885407
1,16,2,3,e4,552.0,491.6569831562499,2,2.029899418907007
1,17,3,4,d4,395.0,342.67629964077287,2,4.013962242752314
1,18,2,3,e4,653.0,402.48240157661036,1,1.288192350853933
1,19,3,4,d4,653.0,683.802535846658,2,5.133421187638305
1,20,1,2,b4,615.0,575.7213739912684,2,2.6873320156882983
1,21,2,3,d4,819.0,598.405943789001,1,1.1482464737346163
1,22,3,4,e4,538.0,439.7072635379951,1,1.1421591821854236
1,23,1,2,b4,819.0,531.3889515328744,1,2.820475741784321
1,24,2,3,b4,968.0,1009.3067533806965,2,2.1651350925967563
1,25,1,2,c4,968.0,1069.9046871469782,2,1.6261555787641555
1,26,1,2,g4,538.0,351.00244500201933,1,1.9665009902819293
1,27,3,4,f4,796.0,916.5091576600587,2,5.223797513375757
1,28,1,2,d4,552.0,384.46098128436046,1,4.435972556340857
1,29,1,2,a4,395.0,530.9241209889822,1,9.608339277721825
1,30,2,3,a4,999.0,625.4003181506525,1,2.60314160042617
