Block #, Trial #, Condition, Standard #, Note,SOA, SOA Jitter, Rating, RT
0,1,2,3,f4,800,725.5559815658883,3,27.455768500000033
0,1,3,4,f4,800,1067.6554605619874,3,3.1335966000000326
0,2,1,2,f4,800,1040.7326406135721,4,5.525363099999936
0,3,3,4,f4,333,387.62421092257705,3,7.526633600000082
0,4,2,3,b4,500,478.1634010268175,3,6.275704000000019
0,5,2,3,g4,400,412.87878205357924,3,5.788669900000059
0,6,3,4,d4,500,688.0523985961056,4,7.437621600000057
0,7,3,4,e4,700,798.0074157688005,4,2.093740499999967
0,8,3,4,a4,900,1074.339632208078,4,2.075949800000103
1,1,1,2,c4,350.0,426.8179115112848,3,7.181724700000018
1,2,1,2,g4,939.0,701.1095272922585,3,3.811706600000093
1,3,3,4,g4,560.0,655.7650323026969,4,1.7338695000000826
1,4,1,2,g4,543.0,629.3562134463924,3,3.3958697000000484
1,5,1,2,b4,939.0,609.1600367235529,4,8.225793100000033
1,6,3,4,f4,655.0,616.0810494061279,2,2.8756971999999905
1,7,1,2,a4,560.0,604.7319138507312,2,4.490085199999953
1,8,1,2,b4,602.0,392.27773717109346,1,4.01378729999999
1,9,3,4,e4,350.0,388.9854844408194,2,4.243717800000013
1,10,2,3,g4,820.0,861.0208844998806,3,6.7678249000000505
1,11,3,4,d4,939.0,1233.253338895627,4,2.9018098000000236
1,12,2,3,c4,543.0,664.4096230800676,3,5.883767799999987
1,13,1,2,c4,745.0,860.6563163626745,3,3.6467430999999806
1,14,2,3,b4,460.0,380.50692812796615,2,8.059822300000064
1,15,2,3,b4,745.0,610.070962007533,3,8.522780000000012
1,16,3,4,e4,745.0,969.6744009412561,4,3.142322799999988
1,17,3,4,a4,915.0,976.5228993967644,3,6.347917100000018
1,18,1,2,g4,460.0,396.86795517560836,2,5.315782799999965
1,19,2,3,a4,886.0,719.1166633376441,2,2.6577411000000666
1,20,3,4,c4,983.0,1281.3415333325797,4,2.367872000000034
1,21,2,3,a4,564.0,455.8612517241424,2,3.3117200000000366
1,22,1,2,g4,983.0,1113.314242689854,3,4.241722600000003
1,23,1,2,g4,577.0,743.7751805545838,2,6.311896900000079
1,24,3,4,f4,784.0,841.9163678676277,3,4.639717500000074
1,25,1,2,a4,915.0,811.9094341165094,3,7.787790200000018
1,26,3,4,b4,906.0,723.963834012997,2,5.616800499999954
1,27,2,3,a4,602.0,471.0430174516382,3,32.293786400000045
1,28,1,2,d4,655.0,899.7308579634796,3,3.4745971999999483
1,29,2,3,e4,915.0,1140.8605735775645,4,2.617733600000065
1,30,3,4,f4,489.0,434.08885154096697,2,2.587760900000035
1,31,2,3,a4,577.0,731.1797845260726,4,3.238160100000073
1,32,1,2,b4,347.0,295.41078979243673,2,6.0380351999999675
1,33,2,3,e4,939.0,1077.8284619063033,3,3.80169340000009
1,34,1,2,f4,489.0,611.897046402871,2,2.437868000000094
1,35,1,2,f4,906.0,830.3934048444889,3,16.850786800000037
1,36,1,2,b4,564.0,424.29704926755767,2,10.04872929999999
1,37,2,3,f4,537.0,370.3945962683187,2,3.08486100000016
1,38,1,2,d4,537.0,483.96774447667383,2,6.42776420000007
1,39,1,2,a4,784.0,862.0605252036044,3,9.18424369999991
1,40,2,3,e4,347.0,257.4158555403885,2,1.4380945999999994
1,41,3,4,f4,460.0,622.0015795442534,3,2.335814300000152
1,42,2,3,c4,939.0,907.9534798981883,3,4.077856600000246
1,43,2,3,b4,560.0,527.2575398554574,3,6.944754900000248
1,44,1,2,c4,820.0,529.5610992142402,2,9.205763200000206
1,45,3,4,d4,543.0,536.921079760124,2,6.88790860000006
1,46,3,4,c4,347.0,285.77782291907613,2,1.6859503000001723
1,47,3,4,c4,564.0,609.919311435143,3,5.4459006000003
1,48,2,3,g4,489.0,485.10503831063136,2,8.95367140000019
1,49,3,4,f4,939.0,1156.8919210806198,4,2.0776549000003115
1,50,2,3,d4,906.0,1142.1503565482158,4,1.1297646000001578
1,51,3,4,e4,537.0,514.0163840510188,2,2.131663400000093
1,52,3,4,d4,886.0,989.6131747203882,3,1.5186440000001085
1,53,3,4,e4,577.0,743.7741867500526,3,1.8198137000000543
1,54,2,3,f4,983.0,836.0365586523912,3,3.5098499000001766
1,55,2,3,a4,350.0,354.8633571313151,2,8.11282400000016
1,56,3,4,e4,820.0,662.1549709338535,3,7.0576791000002
1,57,2,3,g4,655.0,558.3244170938375,3,2.687853400000108
1,58,3,4,d4,602.0,573.588213874408,2,2.2698642000001428
1,59,1,2,d4,886.0,1238.5425143721206,4,5.2417186999999785
1,60,2,3,d4,784.0,792.26064085558,4,5.0617573000000675
2,1,2,3,b4,566.0,341.60906224772026,1,2.335638500000073
2,2,3,4,g4,689.0,447.4604324195355,1,4.547893199999976
2,3,1,2,c4,759.0,934.0388532532133,3,3.093857299999968
2,4,2,3,a4,732.0,639.5475775614138,3,4.657779400000095
2,5,3,4,a4,449.0,545.3831041812927,4,3.0618254000002025
2,6,3,4,e4,445.0,452.83587182585563,3,6.109002700000133
2,7,1,2,a4,954.0,1203.6567118755197,4,4.173854000000233
2,8,1,2,a4,926.0,1256.1661775514885,3,6.41184120000014
2,9,3,4,f4,489.0,392.39501411469405,1,2.838749600000142
2,10,2,3,f4,489.0,521.8246960628114,3,3.8907157000002144
2,11,2,3,e4,461.0,402.6432217205935,3,6.663767000000007
2,12,1,2,d4,475.0,522.3316277048331,3,5.584735400000227
2,13,1,2,e4,445.0,317.1776938659281,1,4.052061099999946
2,14,1,2,g4,851.0,1129.8141048540424,4,2.035708300000124
2,15,2,3,d4,344.0,412.61975943041574,3,3.70185790000005
2,16,3,4,e4,954.0,811.9665995703019,2,2.6497237000003224
2,17,2,3,a4,911.0,1009.68869335303,3,4.247767500000236
2,18,1,2,g4,489.0,559.3324490795915,3,6.571729700000105
2,19,3,4,g4,926.0,1119.6068708821676,3,4.179844600000024
2,20,2,3,b4,641.0,395.19555352883236,1,4.845757100000128
2,21,2,3,d4,926.0,917.7071178273618,3,7.559727100000146
