Block #, Trial #, Condition, Standard #, Note,SOA, SOA Jitter, Rating, RT
0,1,2,3,d4,800,616.6673737203132,3,10.277601093082922
0,1,3,4,c4,1000,1187.51539076355,3,7.9808735979604535
0,2,1,2,a4,400,532.994019884256,4,6.288774384505814
0,3,3,4,f4,333,387.18835593109645,4,6.96121373528149
0,4,1,2,f4,333,420.3578034700634,4,3.0699086320819333
0,5,3,4,g4,400,466.8685796399658,1,4.536137101415079
0,6,3,4,a4,900,689.2442218545947,1,1.7917319227708504
0,7,1,2,a4,900,878.7013167653547,2,4.798175094649196
0,8,3,4,c4,600,732.2882597275334,4,2.312086970428936
1,1,2,3,g4,872.0,892.7012444427689,4,3.8942350486759096
1,2,1,2,a4,625.0,779.8952487002426,4,2.1302591729618143
1,3,1,2,e4,567.0,510.56812314829983,3,8.56606940200436
1,4,3,4,c4,673.0,735.0884314256616,2,4.310205039975699
1,5,3,4,d4,993.0,895.4974071959657,4,8.753670990729006
1,6,1,2,b4,631.0,394.6446912346788,1,2.346098405076191
1,7,1,2,f4,388.0,342.2573148900827,2,5.425110869371565
1,8,2,3,b4,540.0,529.2872744631402,3,4.125655264884699
1,9,3,4,a4,631.0,485.81685462484575,4,3.1130264538223855
1,10,2,3,d4,567.0,627.0055366924191,2,4.906089984171558
1,11,1,2,g4,955.0,646.4755889539861,4,4.906468874076381
1,12,3,4,d4,625.0,758.2494169521868,4,6.203222429059679
1,13,2,3,c4,605.0,439.3346754955003,1,2.0088657166052144
1,14,3,4,e4,540.0,350.8783490202171,1,1.8752294927835464
1,15,2,3,a4,631.0,631.5115357983344,3,4.606491816957714
1,16,1,2,f4,363.0,335.2171241218622,1,9.813671767420601
1,17,2,3,d4,993.0,1151.6749884603469,4,5.5655063046724536
1,18,3,4,c4,388.0,238.36086126374198,1,1.761210465017939
1,19,1,2,g4,984.0,1192.1201783979739,4,4.856650858710054
1,20,2,3,a4,792.0,769.9799950522383,1,2.8769898105820175
1,21,1,2,g4,540.0,701.2625154455216,4,5.893934593856102
1,22,1,2,b4,853.0,956.2638237107453,2,4.807617193990154
1,23,3,4,f4,446.0,312.8108965337248,1,3.104721790587064
1,24,1,2,c4,792.0,619.5891569209278,4,6.872030262136832
1,25,2,3,f4,470.0,648.7248634836942,4,1.7603034797939472
1,26,2,3,e4,363.0,480.4765066658131,4,2.7501355368003715
1,27,2,3,c4,983.0,1329.7851440984825,4,1.661162586446153
1,28,3,4,e4,605.0,778.0105820506467,4,4.077241160470294
1,29,1,2,b4,743.0,1005.0329266949252,3,7.101158488396322
1,30,1,2,b4,872.0,797.6728466880154,2,4.82267825838062
1,31,3,4,d4,743.0,644.1184949127384,1,3.2379264938354027
1,32,2,3,f4,452.0,303.1489469482631,3,10.532448865211336
1,33,1,2,f4,470.0,526.4813059273215,2,8.112930901028449
1,34,3,4,b4,955.0,1143.7479145877132,4,3.652470857661683
1,35,3,4,e4,983.0,1143.6062832481305,3,4.848342107667122
1,36,3,4,g4,452.0,417.65301761701795,1,2.0761205866292585
1,37,1,2,a4,446.0,387.26832742593183,2,9.178174307744484
1,38,3,4,d4,853.0,1109.5463174975557,4,1.8461638102016877
1,39,3,4,a4,792.0,583.3984647469804,1,1.960137871967163
1,40,2,3,e4,586.0,731.8230683107463,4,4.746099580341252
1,41,2,3,f4,743.0,840.6019746523891,2,5.229470325750299
1,42,2,3,f4,446.0,560.078982080739,4,2.4257600663986523
1,43,1,2,g4,983.0,1201.6656315082173,2,5.452135196508607
1,44,1,2,a4,673.0,528.4738903681978,2,7.127863454516046
1,45,2,3,b4,853.0,1056.922156927024,4,2.7879121098085307
1,46,3,4,e4,872.0,1066.925322208535,2,6.639566885191016
1,47,1,2,g4,586.0,400.5371753038137,1,1.7182336731057148
1,48,2,3,c4,673.0,852.4989708545129,4,2.3983320669503883
1,49,1,2,a4,605.0,732.4237211266015,3,5.731440910807578
1,50,2,3,c4,388.0,437.40242006693893,3,6.366185700491769
1,51,3,4,d4,567.0,643.9169170052795,3,8.65165227156831
1,52,3,4,g4,363.0,505.9697994920343,4,2.4137004843505565
1,53,3,4,e4,586.0,724.786940156087,2,3.385123296320671
1,54,3,4,d4,984.0,1325.6574119272523,4,3.7050657806976233
1,55,3,4,f4,470.0,324.287346278741,3,6.325240044505335
1,56,1,2,b4,452.0,440.1328297111345,2,3.987426374515053
1,57,1,2,d4,993.0,1317.0969506397946,3,8.435639818024356
1,58,2,3,a4,984.0,962.4044397848413,2,8.433905560115818
1,59,2,3,b4,625.0,733.3376733184759,4,2.7022858071431983
1,60,2,3,c4,955.0,605.5510310934653,1,4.277111832052469
2,1,2,3,e4,492.0,303.0330770190516,1,2.8882520121114794
2,2,3,4,a4,731.0,602.2092971438301,2,5.105080752342474
2,3,1,2,c4,355.0,342.9339857485552,3,7.183259812154574
2,4,3,4,b4,486.0,656.4340323034257,4,1.8171328741009347
2,5,2,3,e4,624.0,508.8713450122499,3,9.899930149374995
2,6,3,4,g4,887.0,773.2220203666196,2,5.614019027794711
2,7,1,2,f4,401.0,388.5182272908951,3,8.358773970598122
2,8,1,2,d4,669.0,545.1457005644338,3,6.017713804525556
2,9,3,4,f4,669.0,452.4906820917243,1,1.853531085071154
2,10,2,3,a4,584.0,480.38813052645065,2,8.409103729994968
2,11,1,2,c4,834.0,731.2045472775214,3,7.714915129181463
2,12,2,3,b4,817.0,949.5210165774492,4,2.6636277977959253
2,13,1,2,e4,405.0,298.52871245876713,1,4.1379470862448215
2,14,2,3,g4,457.0,337.9134416970372,1,2.2332119591301307
2,15,2,3,b4,669.0,537.8124518435292,4,4.57574987236876
2,16,3,4,f4,355.0,294.8066296086481,1,2.038024397159461
2,17,3,4,a4,492.0,458.861291400827,3,7.7718671580951195
2,18,3,4,b4,368.0,250.1474699671844,1,1.957258002308663
2,19,3,4,b4,835.0,615.728103758682,3,3.973120535025373
2,20,3,4,g4,624.0,709.9210969707283,4,2.531855875713518
2,21,2,3,d4,396.0,306.3077679863893,2,9.750037684600102
2,22,3,4,f4,584.0,742.1787889303982,4,1.6124229893030133
2,23,3,4,c4,457.0,515.1542966663283,2,3.143899208633229
2,24,1,2,c4,494.0,605.4508649473339,2,6.25773377349833
2,25,1,2,d4,492.0,384.8880382338013,3,5.304864557721885
2,26,3,4,f4,834.0,1158.5052301735172,4,1.81512754256255
2,27,1,2,g4,817.0,784.5639771002399,3,6.514563627686584
2,28,3,4,g4,396.0,422.1511403739298,2,9.702427092415746
2,29,1,2,a4,457.0,299.7391886619757,2,19.845118094584905
2,30,1,2,b4,396.0,366.799751477159,3,6.92724547823309
2,31,3,4,c4,494.0,327.3204710057786,1,1.788166321144672
2,32,1,2,f4,584.0,554.2254591246315,4,3.940361761924578
2,33,2,3,f4,887.0,676.3911748631001,4,2.7402228271239437
2,34,2,3,d4,835.0,712.9400037265888,3,4.370454151765443
2,35,1,2,g4,835.0,629.4444687016127,2,4.681325506506255
2,36,2,3,b4,368.0,291.6090360272485,1,3.59691711893538
2,37,2,3,c4,355.0,223.88360566244523,1,2.109248541033594
2,38,3,4,a4,405.0,463.27560753328,2,9.690933162579313
2,39,1,2,g4,731.0,543.850939919751,2,3.777825156750623
2,40,2,3,c4,615.0,489.7722594392763,1,2.880213823693339
2,41,1,2,b4,624.0,727.2104276333343,4,2.605154844088247
2,42,2,3,e4,834.0,915.146579172912,3,3.243352309335023
2,43,3,4,g4,817.0,515.6564723795304,1,1.9346406013646629
2,44,1,2,b4,368.0,281.7251005786779,2,6.638767971715424
2,45,2,3,a4,405.0,472.5691589334077,4,2.1692273457010742
2,46,3,4,c4,749.0,467.4702045425073,1,9.444263586745365
2,47,1,2,g4,486.0,497.88509601561714,3,8.200292483554222
2,48,3,4,d4,615.0,613.4128749693621,3,3.9710002335195895
2,49,1,2,d4,887.0,799.3888078454497,3,2.8269081308098976
2,50,2,3,f4,486.0,354.98248846625347,2,2.282302342384355
2,51,1,2,d4,368.0,459.4710004295388,2,3.5749675656843465
2,52,1,2,e4,615.0,378.93607382894055,2,6.2796467918669805
2,53,3,4,e4,401.0,452.00920981985655,1,5.214657340984559
2,54,2,3,e4,494.0,372.5323422307629,2,4.535221940575866
2,55,1,2,c4,749.0,514.2275829243893,3,3.634266770153772
2,56,3,4,a4,368.0,344.62222319124567,3,2.7812872853828594
2,57,2,3,a4,368.0,311.42365829563323,3,3.039213441981701
2,58,2,3,a4,749.0,931.0689704151,4,2.521516244247323
2,59,2,3,d4,731.0,483.81264955538023,1,2.5723774203215726
2,60,2,3,d4,401.0,365.37965695820594,2,3.97259601650876
3,1,2,3,f4,890.0,1188.1573154502807,4,5.138956266950117
3,2,1,2,d4,776.0,811.8937177566411,3,5.402460254874313
3,3,2,3,c4,853.0,846.9637627872205,3,4.056199869926786
3,4,3,4,d4,779.0,782.0110910545804,3,4.7667796097521205
3,5,1,2,g4,582.0,436.9073656605071,1,4.1650442276732065
3,6,2,3,e4,348.0,242.7282100195395,1,2.0899915841873735
3,7,3,4,d4,994.0,1048.9373430470525,2,3.4402079576684628
3,8,1,2,d4,889.0,861.7093285322176,2,3.7661069077439606
3,9,1,2,g4,611.0,801.6238208731713,1,5.755165600159671
3,10,3,4,f4,606.0,573.4773357870761,3,4.900105925655225
3,11,1,2,c4,779.0,478.41336262353553,1,2.244965721067274
3,12,3,4,g4,776.0,613.0313519172092,2,3.763084219826851
3,13,1,2,b4,357.0,408.08835998096094,2,5.445996311784256
3,14,2,3,a4,889.0,854.2363685121583,3,9.03345216967864
3,15,1,2,g4,890.0,816.0574180223792,3,4.004434008005774
3,16,2,3,c4,422.0,425.9735183394175,2,4.600701418938115
3,17,1,2,c4,606.0,537.6289600009201,2,4.246903092571301
3,18,2,3,e4,582.0,760.3435105124681,4,2.7874971959972754
3,19,2,3,b4,606.0,512.3419531879715,2,5.4969502302701585
3,20,3,4,a4,830.0,1102.6136690173696,4,2.6328181487042457
3,21,2,3,e4,611.0,662.3210602593562,4,7.4751555032562464
3,22,2,3,c4,817.0,529.3203720564866,1,2.183556434669299
3,23,1,2,e4,587.0,479.2490374698766,2,5.330974490469089
3,24,2,3,a4,873.0,660.032056843858,2,5.782097184855957
3,25,1,2,d4,506.0,579.54016464196,3,4.658463602798292
3,26,1,2,f4,873.0,1064.4319458425516,3,2.7777812126732897
3,27,2,3,c4,337.0,450.7643428535382,3,5.024653646629304
3,28,2,3,d4,994.0,1076.746997547888,2,2.7826526175194886
3,29,3,4,a4,587.0,774.7889366996557,4,1.8239876384322997
3,30,1,2,f4,751.0,530.6724562012491,4,5.326584426540649
3,31,2,3,f4,830.0,597.1594593246903,1,1.8759055161790457
3,32,1,2,g4,348.0,267.6086168552227,3,3.5675101032829843
3,33,3,4,d4,889.0,753.1749749523717,4,3.6925243467849214
3,34,1,2,a4,632.0,466.05423599190874,3,6.863925646641292
3,35,3,4,f4,506.0,669.4192448382071,4,2.548400052502984
3,36,1,2,e4,422.0,468.60637579101314,2,3.4330179920070805
3,37,1,2,f4,830.0,582.1150336139186,2,3.480407075403491
3,38,3,4,b4,632.0,528.8856714929879,2,2.989708400418749
3,39,3,4,e4,873.0,1185.6346329990415,3,5.737578007130651
3,40,1,2,b4,853.0,1188.0134138027952,3,3.397464171546744
3,41,2,3,e4,587.0,819.9270763796349,4,1.9445086005143821
3,42,3,4,f4,348.0,328.7920983099232,1,2.5763622790400404
3,43,3,4,f4,890.0,965.1897901797917,3,5.469787683687173
3,44,3,4,b4,853.0,624.5322567549069,1,2.2960031844268087
3,45,2,3,d4,357.0,334.09545997182045,2,2.780099262512522
3,46,3,4,a4,611.0,595.7425727143548,3,3.1681364085234236
3,47,3,4,b4,582.0,393.5342742593433,1,4.928383936290629
3,48,3,4,e4,751.0,671.152135791872,3,2.5972142523969524
3,49,3,4,b4,422.0,438.7198029046171,3,6.5874563688994385
3,50,2,3,a4,776.0,724.2222427988518,3,3.8291661407856736
3,51,3,4,g4,337.0,426.17860691454376,2,5.963233118702192
3,52,3,4,g4,817.0,1013.1917335493918,4,6.258897524967324
3,53,3,4,a4,357.0,373.25304271102743,1,5.9860452021239325
3,54,2,3,c4,779.0,1003.7195968516268,2,4.367251599731389
3,55,2,3,e4,506.0,580.2996878793122,3,5.543652304273564
3,56,1,2,d4,994.0,1313.9232663901425,4,2.010031767480541
3,57,2,3,b4,632.0,797.2998028816007,2,2.8811225973186083
3,58,1,2,b4,817.0,925.287863734072,2,3.4009983479918446
3,59,2,3,c4,751.0,543.1320475805114,3,2.1530454519670457
3,60,1,2,a4,337.0,339.8247755812491,3,5.982060087902937
4,1,3,4,f4,754.0,888.1941834217441,4,2.7994004188803956
4,2,3,4,b4,559.0,397.97195952742226,1,1.6683502526429947
4,3,2,3,c4,946.0,1195.6598471791967,4,1.9311235426284838
4,4,2,3,a4,545.0,669.5691037067941,3,4.572968621389009
4,5,1,2,a4,885.0,717.1110739292699,1,3.2401374938490335
4,6,2,3,c4,523.0,404.2086306682884,1,2.7526459696819074
4,7,2,3,a4,644.0,482.064438185575,2,3.1576961144746747
4,8,1,2,g4,523.0,582.856385315864,3,3.2607181381317787
4,9,2,3,f4,754.0,1031.2091767914135,1,2.663029698538594
4,10,1,2,b4,559.0,649.6694331387498,3,4.405990088067483
4,11,1,2,c4,580.0,732.447036453947,3,4.015213080216199
4,12,1,2,b4,603.0,608.3391962746546,3,7.0601341418223456
4,13,1,2,f4,644.0,597.3592472623449,3,5.18597591354046
4,14,3,4,a4,506.0,636.7617722317856,1,3.997001583513338
4,15,3,4,a4,603.0,377.4452541725413,4,7.863343643170083
4,16,3,4,a4,616.0,774.5043680398126,4,2.5322945499792695
4,17,1,2,d4,436.0,596.5376363654761,2,3.592493841453688
4,18,2,3,f4,436.0,541.5604247077822,4,2.397550015768502
4,19,1,2,c4,529.0,395.2170527819387,2,3.4924543939705472
4,20,2,3,g4,529.0,652.7676985420019,2,3.9930226010328624
4,21,2,3,d4,559.0,669.949755904792,2,14.152722514147172
4,22,3,4,b4,936.0,962.4769479398685,3,2.386971502273809
4,23,1,2,a4,936.0,792.4415771639035,2,2.6579357629525475
4,24,3,4,c4,545.0,579.907768269942,4,2.7320949621207546
4,25,1,2,b4,829.0,870.6708932196989,3,4.640955211274559
4,26,1,2,e4,754.0,1013.4409066176243,3,3.906403213419253
