Block #, Trial #, Condition, Standard #, Note,SOA, SOA Jitter, Rating, RT
0,1,2,3,g4,800,1030.884751034266,1,52.531349089655805
0,1,3,4,a4,400,530.6710442183295,2,4.673211177421763
0,2,1,2,f4,800,615.7112084540236,2,4.715115139768955
0,3,1,2,g4,400,448.6826880539582,2,6.490325796504862
0,4,2,3,b4,500,580.2700551261386,4,3.333433059049298
0,5,2,3,f4,333,217.56721171254347,1,1.9090555123070772
0,6,3,4,d4,500,575.7879233079889,4,3.0941470372647473
0,7,2,3,e4,700,427.48862481392536,3,4.2244648727449885
0,8,2,3,d4,500,445.48986315797055,3,9.057259082555788
1,1,1,2,f4,699.0,427.6210831334558,1,4.667983114247704
1,2,2,3,d4,539.0,536.8474267510793,4,14.000392685974589
1,3,1,2,b4,522.0,485.00898490987373,1,2.7548482155016245
1,4,1,2,a4,688.0,813.7139868337936,4,2.8180844537998837
1,5,3,4,a4,377.0,313.22430111515956,1,3.4132415652355803
1,6,3,4,d4,359.0,440.46193328498896,4,1.100839305592217
1,7,2,3,g4,845.0,972.8113681754189,4,1.6281736474242052
1,8,2,3,c4,359.0,463.316355675076,4,1.5710589159260735
1,9,2,3,a4,724.0,510.01056800308515,4,2.3705057320145215
1,10,3,4,e4,724.0,578.378175565764,4,2.4616489898363625
1,11,1,2,a4,664.0,495.55577976787356,4,3.4352715805470098
1,12,1,2,d4,683.0,423.1958458601301,4,2.860549724596126
1,13,3,4,g4,699.0,780.8951139783492,4,5.109222397459007
1,14,1,2,b4,616.0,491.52921369731195,1,4.3059171925687
1,15,3,4,a4,664.0,868.4632842978133,4,1.456479433551067
1,16,2,3,a4,522.0,395.02867289711077,1,1.430563181180446
1,17,2,3,a4,359.0,371.5585169972708,3,8.536963707078144
1,18,2,3,e4,763.0,1043.9992895673327,4,1.2652653798387519
1,19,2,3,e4,683.0,612.2849928585114,1,3.56914428437517
1,20,2,3,c4,658.0,741.5292154688382,4,4.937094108458496
1,21,3,4,c4,359.0,262.9943282428374,1,2.3791108434725174
1,22,1,2,d4,845.0,582.6176913820559,1,3.250487663860781
1,23,1,2,g4,864.0,1059.759982189169,1,2.0901246247831295
1,24,1,2,d4,724.0,663.8487852760805,1,1.622438694872244
1,25,2,3,b4,847.0,1122.2280171810596,4,4.466636638240175
1,26,1,2,f4,359.0,256.1972785603276,3,7.020086002571816
1,27,3,4,g4,569.0,727.0795334731702,4,3.5490403976016296
1,28,3,4,c4,688.0,458.441516348392,1,2.3294264868607115
1,29,1,2,f4,539.0,740.7497164458136,3,7.190704353959973
1,30,3,4,b4,522.0,677.5967474691734,4,1.4488096658490122
1,31,1,2,d4,569.0,396.45793262038893,3,5.720897102222807
1,32,3,4,d4,658.0,722.2883619186691,4,2.0688746161604286
